expr.UC.100.m	score
UC_1	27.7221977334879	36
UC_2	25.7351070664719	1
UC_3	27.3893755288213	25
UC_4	26.2067456531669	1
UC_5	25.6415518484958	0
UC_6	25.9646004420347	4
UC_7	27.354796948752	36
UC_8	26.0868251267193	4
UC_9	26.2304791270156	4
UC_10	26.9576187143607	20.25
