AUC	AUC_ROC	AUC_p	AUC_ROC_p	auc_threshold	num_contrasts	num_diseases	num_tissues
4571421.587259932	4609592.958017644	0.8247958741497526	0.8316851444339711	0.5	45	22	10
4581879.434143684	4620100.7836553855	0.8266829049159349	0.8335780999011431	0.55	40	19	9
4588420.938643305	4626814.91098596	0.8278609636473464	0.8347915914077653	0.6	33	18	9
4588357.343533343	4626846.407075271	0.8278500587143434	0.8348096716230425	0.65	26	15	8
4599528.472751016	4637874.932512609	0.8298647500103348	0.8367850420345196	0.7	14	8	5
4545133.092254213	4582557.684697469	0.8200558066311235	0.8268057173674065	0.75	5	4	2
